Samsung Galaxy Tab S2 9.7 Wi-Fi + 4G,1600
Samsung Galaxy Mega Duos,399
Samsung Galaxy Tab E 9.6 Wi-Fi,698
iPad Mini 2 Wi-Fi + 4G,849
iPad 3 Wi-Fi + 4G,1979
Asus Zenfone 2 Deluxe,880
Motorola Moto G1 4G,350
Samsung Gear S3 Classic,1199
Quantum Muv Up,299
Samsung Galaxy Tab E 9.6 Wi-Fi + 3G,698
iPad 2 Wi-Fi,1759
Asus Zenfone 2,880
Samsung Galaxy Tab E 7 Wi-Fi + 3G,399
Asus Zenfone Go,160
Asus Zenfone 2 Laser,880
Asus Live,649
"Asus Zenfone 2 Laser 6""",880
Quantum GO 3G,690
Samsung Galaxy S3 Neo Duos i9300i,419
Samsung Galaxy Pocket 2 Duos,154
Samsung Galaxy Young 2 Duos TV,220
iPad Mini 4 Wi-Fi + 4G,2998
Motorola Moto E1,499
Samsung Galaxy Tab S 10.5 Wi-Fi,1699
Samsung Galaxy Tab 4 10.1 Wi-Fi,675
Sony Xperia Z ULTRA,900
Motorola Moto G1 3G,379
Xiaomi Redmi 2,830
LG G2 Mini D618,220
LG Nexus 4,450
Outros TV LED 15,499
Motorola Moto E4 Plus,1300
Samsung Galaxy S Duos 2,399
